,dimension_1,dimension_2,dimension_3,dimension_4,dimension_5,dimension_6,dimension_7,dimension_8,dimension_9
"Corynebacterium jeikeium K411 complete genome. DEFINITION  Corynebacterium jeikeium K411 plasmid pKW4, complete sequence.|4924998bp|chromosomal replication initiator protein|-150-0_forward",-2.8319664790819443,2.756912523069939,1.4668120099932236,-0.9075546102049777,-0.2546827437284926,1.7255687656058436,1.097968780751554,2.0534043556730435,-1.7292058624648021
"Pseudomonas aeruginosa PAO1, complete genome.|6264404bp|chromosomal replication initiator protein DnaA|332-482_forward",-2.2581872476289044,2.657835042470634,1.4301397797704432,-0.04646511831800928,-0.20597872823861138,1.387972957187288,1.276308797964805,2.2400412543100914,-1.8716654863699018
"Streptococcus pneumoniae TIGR4, complete genome.|2160842bp|chromosomal replication initiator protein DnaA|46-196_forward",-2.2893770332714767,1.3208718088487723,1.9172820209949095,0.7992319119330354,-0.8323826212326869,1.4598437151483568,2.536004437814393,4.150918149844148,-1.704627094751655
"Streptococcus mutans UA159, complete genome.|2032925bp|chromosomal replication initiator protein, DnaA|43-193_forward",-2.358159242903085,1.3585174928785013,1.708118552113661,1.0823349207499926,-0.8751776181047867,1.4816046414845823,2.5361181004428794,4.043072815812025,-1.8085388461778347
"Tropheryma whipplei str. Twist, complete genome.|927303bp|chromosomal replication initiator protein|-150-0_forward",-2.2795870694592506,1.824934583051806,1.76252736142667,1.0523627978800787,-0.8739962881705067,1.4937258911873263,2.290306091966937,3.8684209475669347,-1.5862583061217495
"Bifidobacterium longum NCC2705, complete genome. DEFINITION  Bifidobacterium longum NCC2705 plasmid pBLO1, complete sequence.|4513280bp|chromosomal replication initiator protein DnaA|1625766-1625916_reverse",-2.192349832893629,1.609296939707422,1.6024827616520307,0.6753677546830975,-1.1797920677195932,1.5315484122722502,2.3333011019030856,4.526139646754413,-2.0069656088187906
Pseudomonas putida KT2440 complete genome.|6181873bp|chromosomal replication initiator protein|9391-9541_forward,-2.3637962952181337,2.187204531966197,1.7812619106350356,0.3373317961558455,-0.5427028000122306,1.4329966726397891,1.6909389778922197,3.0761451431186555,-1.590016569933428
"Clostridium tetani E88, complete genome. DEFINITION  Clostridium tetani E88 plasmid pE88, complete sequence.|5598502bp|chromosomal replication initiator protein dnaA|52254-52404_reverse",-2.583467808796832,1.4801465549324426,2.122200049293991,0.5717892095889398,-1.2526892061765007,1.6585854817025718,2.545111436366613,4.924230911255327,-1.244488127862025
"Staphylococcus epidermidis ATCC 12228, complete genome. DEFINITION  Staphylococcus epidermidis ATCC 12228 plasmid pSE-12228-01, complete sequence. DEFINITION  Staphylococcus epidermidis ATCC 12228 plasmid pSE-12228-02, complete sequence. DEFINITION  Staphylococcus epidermidis ATCC 12228 plasmid pSE-12228-03, complete sequence. DEFINITION  Staphylococcus epidermidis ATCC 12228 plasmid pSE-12228-04, complete sequence. DEFINITION  Staphylococcus epidermidis ATCC 12228 plasmid pSE-12228-05, complete sequence. DEFINITION  Staphylococcus epidermidis ATCC 12228 plasmid pSE-12228-06, complete sequence.|17494953bp|chromosomal replication initiator protein|211-361_forward",-2.1187107829306973,1.451243584262342,1.6933007913966405,0.7956541585658035,-1.286257106602539,1.6012353814237401,2.5660931493914876,4.809736651040849,-1.9876196352714761
"Leifsonia xyli subsp. xyli str. CTCB07, complete genome.|2584158bp|chromosomal replication initiator protein|74-224_forward",-2.9079657374239805,2.1681327496029428,0.9878662217754675,-1.0645535924597236,-0.11468489965945287,1.4690484595051414,0.6337440431881838,1.1800119175961805,-1.5838823831977786
"Enterococcus faecalis V583 chromosome, complete genome. DEFINITION  Enterococcus faecalis V583 plasmid pTEF1, complete sequence. DEFINITION  Enterococcus faecalis V583 plasmid pTEF2, complete sequence. DEFINITION  Enterococcus faecalis V583 plasmid pTEF3, complete sequence.|12872124bp|chromosomal replication initiator protein DnaA|-92-58_forward",-2.648928598577576,1.8651096153676407,1.6636700098232362,1.1608430273499968,-1.4125263879718635,1.5285204211591816,2.373861015237811,4.641869830717268,-1.3947686452578922
"Pseudomonas syringae pv. tomato str. DC3000, complete genome. DEFINITION  Pseudomonas syringae pv. tomato str. DC3000 plasmid pDC3000A, complete sequence. DEFINITION  Pseudomonas syringae pv. tomato str. DC3000 plasmid pDC3000B, complete sequence.|19191378bp|chromosomal replication initiator protein DnaA|188-338_forward",-2.2946225085007037,2.2815260617283712,1.6444337992747937,0.2655800574797193,-0.6052202805959084,1.4258259273808709,1.644108559537186,2.932419193565083,-1.6813515020361833
"Bacillus cereus ATCC 14579, complete genome. DEFINITION  Bacillus cereus ATCC 14579 plasmid pBClin15, complete sequence.|10823618bp|Chromosomal replication initiator protein dnaA|130-280_forward",-1.8273978397671211,2.053348009701989,2.2839031878813123,1.7853015053630141,-1.460555800736067,1.348443922846628,2.5799778599913807,4.561649948164941,-1.058610151762908
"Geobacter sulfurreducens PCA, complete genome.|3814128bp|chromosomal replication initiator protein DnaA|-121-29_forward",-2.233176842673586,2.4064929183237456,1.0335494306926392,-0.5208483370963557,-1.4469357074813587,1.4807478422650042,1.6788895249293643,2.4857630554309114,-1.78484246442239
"Lactobacillus johnsonii NCC 533, complete genome.|1992676bp|chromosomal replication initiator protein DnaA|-150-0_forward",-2.7078126452015674,1.5680034870890578,2.407294632823028,0.7151340072398409,-1.2485276978299473,1.4949152155290397,2.4112184371407355,4.766747483503289,-1.2767684743086014
"Thermus thermophilus HB27, complete genome. DEFINITION  Thermus thermophilus HB27 plasmid pTT27, complete sequence.|3789754bp|chromosomal replication initiator protein dnaA|1522849-1522999_forward",-3.124021712745992,2.8547525284451316,1.1288138525859266,-1.5131204311625077,0.10480381120486172,1.5911537379383882,0.5336806071145184,1.0683953843630598,-2.017317308846381
"Thermotoga maritima MSB8, complete genome.|1860725bp|chromosomal replication initiator protein|945573-945723_reverse",-1.999965328974742,2.365358712787409,1.9584322391908486,1.1446613888206856,-1.344693957684247,1.5175130060657864,2.2523097704639428,4.048876453511572,-1.5646736965021077
"Helicobacter pylori J99, complete genome.|1643831bp|CHROMOSOMAL REPLICATION INITIATOR PROTEIN|1559163-1559313_reverse",-2.180047122389342,1.8723124971518246,1.7963941117552797,1.3016366847404368,-1.6189439645836192,1.6323563116252806,2.632419818797462,5.077747706349007,-1.7477561982143324
"Neisseria meningitidis MC58, complete genome.|2272360bp|chromosomal replication initiator protein DnaA|2005946-2006096_reverse",-2.1454003804305843,2.072601296536749,2.294314310939131,1.4212532482583364,-1.407189936878422,1.546147184389147,2.508815071165782,4.548081160524176,-1.162701720276616
